Tōkyō;Tokyo;Japan;34,000,000
Guangzhou;Canton;China;24,200,000
Seoul;Seoul;Korea (South);24,200,000
Ciudad de México;Mexico City;Mexico;23,400,000
Delhi;Delhi;India;23,200,000
Mumbai;Bombay;India;22,800,000
New York;New York;United States of America;22,200,000
São Paulo;Sao Paulo;Brazil;20,900,000
Manila;Manila;Philippines;19,600,000
Shanghai;Shanghai;China;18,400,000
Los Angeles;Los Angeles;United States of America;17,900,000
Ōsaka;Osaka;Japan;16,800,000
Kolkata;Calcutta;India;16,300,000
Karāchi;Karachi;Pakistan;16,200,000
Jakarta;Jakarta;Indonesia;15,400,000
Al-Qāhirah;Cairo;Egypt;15,200,000
Beijing;Beijing;China;13,600,000
Dhaka;Dacca;Bangladesh;13,600,000
Moskva;Moscow;Russia;13,600,000
Buenos Aires;Buenos Aires;Argentina;13,300,000
İstanbul;Istanbul;Turkey;12,800,000
Tehrān;Tehran;Iran;12,800,000
Rio de Janeiro;Rio de Janeiro;Brazil;12,600,000
London;London;Great Britain;12,400,000
Lagos;Lagos;Nigeria;11,800,000
Paris;Paris;France;10,400,000
Chicago;Chicago;United States of America;9,850,000
Shenzhen;Shenzhen;China;9,150,000
Lima;Lima;Peru;9,050,000
Wuhan;Wuhan;China;8,950,000
Kinshasa;Kinshasa;Congo (Dem. Rep.);8,900,000
Krung Thep;Bangkok;Thailand;8,900,000
Bogotá;Bogotá;Colombia;8,600,000
Lahore;Lahore;Pakistan;8,550,000
Nagoya;Nagoya;Japan;8,350,000
Tianjin;Tientsin;China;8,350,000
Washington;Washington;United States of America;8,250,000
Chennai;Madras;India;8,200,000
Bengaluru;Bangalore;India;7,800,000
Johannesburg;Johannesburg;South Africa;7,550,000
Hyderābād;Hyderabad;India;7,500,000
San Francisco;San Francisco;United States of America;7,450,000
Hong Kong;Hong Kong;China;7,050,000
Shenyang;Shenyang;China;6,800,000
Taipei;Taipei;Taiwan (Rep. of China);6,800,000
Baghdād;Baghdad;Iraq;6,600,000
Dallas;Dallas;United States of America;6,500,000
Chongqing;Chungking;China;6,400,000
Madrid;Madrid;Spain;6,200,000
Thanh Pho Ho Chi Minh;Saigon;Vietnam;6,100,000
Philadelphia;Philadelphia;United States of America;6,000,000
Santiago;Santiago;Chile;6,000,000
Ahmadābād;Ahmedabad;India;5,950,000
Belo Horizonte;Belo Horizonte;Brazil;5,900,000
Houston;Houston;United States of America;5,900,000
Xi'an;Sian;China;5,850,000
Boston;Boston;United States of America;5,750,000
Toronto;Toronto;Canada;5,750,000
Atlanta;Atlanta;United States of America;5,700,000
Chengdu;Chengtu;China;5,700,000
Detroit;Detroit;United States of America;5,550,000
Miami;Miami;United States of America;5,400,000
Ar-Riyād;Riyadh;Saudi Arabia;5,100,000
Al-Kharṭūm;Khartoum;Sudan;4,975,000
Singapore;Singapore;Singapore;4,900,000
Kuala Lumpur;Kuala Lumpur;Malaysia;4,875,000
Pune;Poona;India;4,850,000
Nanjing;Nanking;China;4,800,000
Sankt-Peterburg;St. Petersburg;Russia;4,775,000
Yangon;Rangoon;Myanmar;4,725,000
Ruhrgebiet;The Ruhr;Germany;4,675,000
Chittagong;Chittagong;Bangladesh;4,625,000
Guadalajara;Guadalajara;Mexico;4,625,000
Shantou;Shantou;China;4,600,000
Al-Iskandarīyah;Alexandria;Egypt;4,575,000
Sydney;Sydney;Australia;4,475,000
Abidjan;Abidjan;Cote d'Ivoire;4,400,000
Harbin;Harbin;China;4,400,000
Phoenix;Phoenix;United States of America;4,400,000
Berlin;Berlin;Germany;4,325,000
Caracas;Caracas;Venezuela;4,325,000
Barcelona;Barcelona;Spain;4,300,000
Sūrat;Surat;India;4,225,000
Monterrey;Monterrey;Mexico;4,150,000
Porto Alegre;Porto Alegre;Brazil;4,125,000
Hangzhou;Hangchou;China;4,075,000
Seattle;Seattle;United States of America;4,025,000
Ankara;Ankara;Turkey;4,000,000
Melbourne;Melbourne;Australia;4,000,000
Casablanca;Casablanca;Morocco;3,975,000
Salvador;Salvador;Brazil;3,950,000
Recife;Recife;Brazil;3,900,000
Brasília;Brasília;Brazil;3,850,000
Qingdao;Tsingtao;China;3,825,000
Athínai;Athens;Greece;3,775,000
